POSTO,NOME,PRODUTIBILIDADE
1,CAMARGOS,0.2076
2,ITUTINGA,0.2437
6,FURNAS,0.813
7,MASC. DE MORAES,0.3471
8,ESTREITO,0.5437
9,JAGUARA,0.3944
10,IGARAPAVA,0.1523
11,VOLTA GRANDE,0.2482
12,P COLOMBIA,0.2012
14,CACONDE,0.8259
15,EUC DA CUNHA,0.7502
16,LIMOEIRO,0.2209
17,MARIMBONDO,0.5183
18,AGUA VERMELHA,0.4625
22,BATALHA,0.3551
23,CORUMBA III,0.3471
24,EMBORCACAO,1.1582
25,NOVA PONTE,0.9669
28,CAPIM BRANCO 2,0.4169
31,ITUMBIARA,0.7027
32,CACH DOURADA,0.2702
33,SAO SIMAO,0.6355
34,ILHA SOLTEIRA,0.3869
37,BARRA BONITA,0.1776
38,BARIRI,0.1848
39,IBITINGA,0.1737
40,PROMISSAO,0.213
42,N.AVANHANDAVA,0.2784
43,TRES IRMAOS,0.4025
45,JUPIA,0.18
46,P.PRIMAVERA,0.1754
47,JURUMIRIM,0.2907
48,PIRAJU,0.2306
49,CHAVANTES,0.6177
50,LUCAS GARCEZ,0.1483
51,CANOAS 2,0.1288
52,CANOAS 1,0.1489
53,PARANAPANEMA,0.1275
57,GOV JAYME CANET JR,1.0494
61,CAPIVARA,0.3744
62,TAQUARUÇU,0.2221
63,ROSANA,0.1841
66,ITAIPU ART.,1.0244
71,STA CLARA PR,0.8126
72,FUNDÃO,0.8307
73,JORDÃO NAT.,0
74,FOZ DO AREIA,1.0938
75,SEGREDO,0.904
77,SLT SANTIAGO,0.8921
78,SALTO OSORIO,0.5747
81,BAIXO IGUAÇU,0.1458
88,SAO ROQUE,0.4335
89,GARIBALDI,0.3691
92,ITÁ,0.9097
93,PASSO FUNDO,2.2252
94,FOZ CHAPECO,0.4506
97,MONTE CLARO,0.3541
98,CASTRO ALVES,0.7676
99,ESPORA,0.4021
101,SALTO PILAO,1.7641
102,SÃO JOSÉ,0.1878
103,PASSO SÃO JOÃO,0.2545
110,ERNESTINA,0
111,PASSO REAL,0.3682
112,JACUI,0.7951
113,ITAUBA,0.7554
114,D.FRANCISCA,0.3356
115,CAP.CACH.,6.3542
120,JAGUARI,0.5163
121,PARAIBUNA,0.7007
122,SANTA BRANCA,0.3679
123,FUNIL,0.5575
126,SIMPLÍCIO ART.,0.9762
131,NILO PEÇANHA,2.6871
134,SALTO GRANDE,0.802
135,BARRA BRAUNA,0.2094
141,BAGUARI,0.1698
144,MASCARENHAS,0.1989
145,RONDON II,0.5244
148,AIMORÉS,0.2558
149,CANDONGA,0.4503
154,SAO DOMINGOS,0.3071
155,RETIRO BAIXO,0.3346
156,TRES MARIAS,0.436
158,QUEIMADO,1.6404
169,SOBRADINHO,0.2449
172,LUIZ GONZAGA,0.4425
176,COMPLEXO,1.0213
178,XINGÓ,1.0781
183,A. DIAS + SÁ CARVALHO,0.9364
188,ITAPEBI,0.715
190,B. ESPERANCA,0.3784
191,CANA BRAVA,0.3868
196,ROSAL,1.6903
197,PICADA,1.1546
198,SOBRAGI,0.7164
204,CACHOEIRA CALDEIRAO,0.1406
204,CACHOEIRA CALDEIRAO,0.1406
205,CORUMBA IV,0.5836
206,MIRANDA,0.6195
207,CAPIM BRANCO 1,0.5114
209,CORUMBA I,0.6294
211,FUNIL-GRANDE,0.3549
213,SUIÇA,2.1132
215,BARRA GRANDE,1.4153
216,CAMPOS NOVOS,1.6063
217,MACHADINHO,0.8779
220,MONJOLINHO,0.54
222,SALTO CAXIAS,0.5596
225,SALTO APIACÁS,0.2218
226,JURUENA,0.2969
227,SINOP,0.2431
228,COLIDER,0.2078
229,TELES PIRES,0.5054
229,TELES PIRES,0.5054
230,SAO MANOEL,0.2267
241,SLT VERDINHO,0.3742
247,CACU,0.243
248,B. COQUEIROS,0.3214
249,OURINHOS,0.0962
251,SERRA FACAO,0.6489
252,ITIQUIRA II,1.2239
253,SÃO SALVADOR,0.2149
254,PEDRA DO CAVALO,0.9483
255,IRAPÉ,1.4533
257,PEIXE ANGICAL,0.2408
259,ITIQUIRA I,0.7685
261,FOZ DO RIO CLARO,0.2395
262,GUILMAN,1.0066
263,PORTO ESTRELA,0.4593
269,BALBINA,0.208
270,SERRA DA MESA,1.0404
271,ESTREITO TOC,0.211
271,ESTREITO TOC,0.211
273,LAJEADO,0.3315
275,TUCURUI,0.5496
277,CURUA-UNA,0.1679
278,MANSO,0.508
279,SAMUEL,0.2762
280,COARACY NUNES,0.1795
281,P.PEDRA,2.2106
283,SANTA CLARA - MG,0.4495
284,14 DE JULHO,0.3016
285,JIRAU,0.155
286,QUEBRA-QUEIXO,1.035
287,SANTO ANTONIO,0.1589
288,PIMENTAL,0
290,SANTO ANTONIO DO JARI,0.2315
291,DARDANELOS,0.8689
292,BELO MONTE ART,0.8185
294,SALTO,0.4502
295,JAURU,0.9297
296,GUAPORÉ,1.5452
297,FERREIRA GOMES,0.1499
297,FERREIRA GOMES,0.1499
299,ILHA POMBOS,0.2702
302,PIMENTAL_ART,0.114
303,FONTES,2.7014
306,PEREIRA PASSOS,0.3233
318,H.BORDEN,5.6808
