BACIA,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Alto Paraná,2329.3716,2193.9806,2113.4905,2134.143,2036.2667000000001,1923.6496000000002
Alto Tietê,105.09479999999999,98.27784,154.51775999999998,154.51775999999998,147.7008,118.72871999999998
Amazonas (N),929.2857000000001,1006.711,1043.8574,1043.2312000000002,985.2721000000001,917.3305
Amazonas (SE),14515.361400000002,12734.3001,11430.6216,10552.6802,9993.0859,9068.6656
Araguari,1142.2338,1106.3639,1113.8839,1079.5739,961.7648,928.8648000000001
Baixo Paraná,7844.291800000001,7595.19496,7337.718540000001,7700.66564,7683.854,7534.414180000001
Capivari,69.8962,63.541999999999994,69.8962,63.541999999999994,76.2504,76.2504
Doce,487.2762,464.1819,450.956,463.4438,447.8851,429.8329
Grande,2923.8794,2674.9015,2544.0218,2595.9201,2473.8745,2343.3218
Iguaçu,1547.8606,1944.6979999999999,2522.1579,2407.1357,4477.3146,5372.5033
Itabapoana,37.1866,35.4963,33.806,37.1866,33.806,32.1157
Itajaí-Açu,81.1486,121.7229,213.4561,165.8254,303.4252,306.9534
Jacuí,994.2198999999999,1745.3609000000001,1329.6829,1012.9584,1054.4387,1211.1871999999998
Jequitinhonha (NE),71.5,67.21,64.35,62.205,60.059999999999995,57.915
Jequitinhonha (SE),87.19800000000001,82.8381,77.0249,74.1183,69.7584,65.3985
Mucuri,32.364000000000004,31.9145,31.465,31.465,30.566000000000003,31.0155
Paraguai,432.4937,400.8087,390.5493,384.6655,375.97679999999997,369.8281
Paraguaçu,13.276200000000001,12.3279,11.3796,11.3796,12.3279,12.3279
Paranapanema (S),49.3218,49.3218,52.470000000000006,62.964000000000006,116.48340000000002,155.3112
Paranapanema (SE),456.0542,441.9503,465.0054,561.1814,656.9968,654.2829
Paranaíba,4197.4819,3966.0107,3781.2436,3741.3164,3511.6417,3324.3437
Paraíba do Sul,701.5575263157895,669.5069789473683,685.627305263158,706.0802526315789,659.3789631578948,632.6918578947368
Parnaíba,205.8496,174.44240000000002,154.0088,143.792,138.8728,126.00720000000001
Santa Maria da Vitória,12.6792,12.6792,12.6792,14.7924,14.7924,14.7924
São Francisco (NE),6036.2088,4397.5704000000005,3561.5304000000006,3302.358,3096.1348,2940.074
São Francisco (SE),307.2036,282.8326,264.79879999999997,258.0278,244.6886,233.09339999999997
Tietê,601.3297,580.3668,611.5535,636.1675,623.1856,563.0056999999999
Tocantins (N),11215.1106,8656.4838,6983.361999999999,5965.773799999999,5083.162,4322.4046
Tocantins (SE),1961.9937,1746.4283,1589.0468999999998,1508.5384,1366.1284,1254.1477
Uruguai,1860.6935,3616.2689,3943.8799,3542.1117,4706.293000000001,5386.2683
Xingu,7473.231252142857,8208.38248,8598.94420142857,7358.163516428571,5807.728005714285,4526.577988571429
