Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
001,CAMARGOS,0.2076,NAT,62,55,51,51,50,48,12.8712,11.418000000000001,10.5876,10.5876,10.38,9.9648,Grande,Sudeste
002,ITUTINGA,0.2437,NAT,62,55,51,51,50,48,15.1094,13.4035,12.4287,12.4287,12.185,11.6976,Grande,Sudeste
006,FURNAS,0.813,NAT,451,409,389,400,381,364,366.66299999999995,332.517,316.257,325.2,309.753,295.93199999999996,Grande,Sudeste
007,MASC. DE MORAES,0.3471,NAT,545,493,468,478,454,433,189.1695,171.12030000000001,162.4428,165.9138,157.5834,150.29430000000002,Grande,Sudeste
008,ESTREITO,0.5437,NAT,566,513,486,496,471,449,307.7342,278.9181,264.2382,269.67519999999996,256.0827,244.1213,Grande,Sudeste
009,JAGUARA,0.3944,NAT,575,521,493,503,478,456,226.77999999999997,205.48239999999998,194.4392,198.3832,188.52319999999997,179.8464,Grande,Sudeste
010,IGARAPAVA,0.1523,NAT,601,544,515,525,498,474,91.53229999999999,82.85119999999999,78.4345,79.9575,75.8454,72.19019999999999,Grande,Sudeste
011,VOLTA GRANDE,0.2482,NAT,658,595,563,572,543,516,163.3156,147.679,139.7366,141.9704,134.7726,128.0712,Grande,Sudeste
012,P COLOMBIA,0.2012,NAT,810,734,694,700,662,627,162.97199999999998,147.6808,139.6328,140.84,133.1944,126.1524,Grande,Sudeste
014,CACONDE,0.8259,NAT,34,32,31,32,29,27,28.0806,26.4288,25.602899999999998,26.4288,23.9511,22.2993,Grande,Sudeste
015,EUC DA CUNHA,0.7502,NAT,56,53,51,52,48,44,42.0112,39.7606,38.2602,39.0104,36.0096,33.0088,Grande,Sudeste
016,LIMOEIRO,0.2209,NAT,56,53,52,53,49,45,12.3704,11.7077,11.4868,11.7077,10.824100000000001,9.9405,Grande,Sudeste
017,MARIMBONDO,0.5183,NAT,1191,1097,1045,1069,1020,961,617.2953,568.5751,541.6235,554.0627,528.6659999999999,498.0863,Grande,Sudeste
018,AGUA VERMELHA,0.4625,NAT,1357,1255,1198,1224,1171,1103,627.6125000000001,580.4375,554.075,566.1,541.5875,510.13750000000005,Grande,Sudeste
022,BATALHA,0.3551,NAT,83,78,73,70,66,62,29.473300000000002,27.6978,25.922300000000003,24.857000000000003,23.436600000000002,22.0162,Paranaíba,Sudeste
023,CORUMBA III,0.3471,NAT,106,99,93,90,84,79,36.7926,34.3629,32.280300000000004,31.239,29.1564,27.420900000000003,Paranaíba,Sudeste
024,EMBORCACAO,1.1582,NAT,360,339,322,316,295,278,416.95199999999994,392.6298,372.94039999999995,365.9912,341.669,321.97959999999995,Paranaíba,Sudeste
025,NOVA PONTE,0.9669,NAT,274,259,248,246,229,217,264.93059999999997,250.4271,239.7912,237.85739999999998,221.4201,209.8173,Paranaíba,Sudeste
028,CAPIM BRANCO 2,0.4169,NAT,288,272,261,259,241,229,120.0672,113.3968,108.8109,107.9771,100.4729,95.4701,Paranaíba,Sudeste
031,ITUMBIARA,0.7027,NAT,1203,1136,1080,1068,1000,945,845.3481,798.2672,758.9159999999999,750.4836,702.7,664.0515,Paranaíba,Sudeste
032,CACH DOURADA,0.2702,NAT,1249,1180,1123,1111,1041,984,337.4798,318.836,303.4346,300.1922,281.27819999999997,265.8768,Paranaíba,Sudeste
033,SAO SIMAO,0.6355,NAT,1933,1828,1744,1727,1633,1548,1228.4215,1161.694,1108.312,1097.5085,1037.7714999999998,983.7539999999999,Paranaíba,Sudeste
034,ILHA SOLTEIRA,0.3869,NAT,3852,3622,3474,3500,3333,3154,1490.3388,1401.3518000000001,1344.0906,1354.15,1289.5377,1220.2826,Alto Paraná,Sudeste
037,BARRA BONITA,0.1776,ART,238.6,230.8,249.0,261.0,255.2,231.1,42.37536,40.990080000000006,44.2224,46.3536,45.32352,41.04336,Tietê,Sudeste
038,BARIRI,0.1848,ART,296.6,285.8,303.0,315.0,308.2,280.1,54.81168,52.81584,55.9944,58.211999999999996,56.95536,51.762480000000004,Tietê,Sudeste
039,IBITINGA,0.1737,ART,407.6,392.8,408.0,418.0,410.2,373.1,70.80012,68.22936,70.86959999999999,72.6066,71.25174,64.80747,Tietê,Sudeste
040,PROMISSAO,0.213,ART,458.6,443.8,464.0,482.0,473.2,428.1,97.6818,94.5294,98.832,102.666,100.79159999999999,91.1853,Tietê,Sudeste
042,N.AVANHANDAVA,0.2784,ART,478.6,463.8,487.0,508.0,497.2,450.1,133.24224,129.12192,135.58079999999998,141.4272,138.42048,125.30784,Tietê,Sudeste
043,TRES IRMAOS,0.4025,ART,493.6,477.8,500.0,522.0,511.2,463.1,198.67400000000004,192.3145,201.25,210.10500000000002,205.758,186.39775000000003,Tietê,Sudeste
045,JUPIA,0.18,ART,4622.6,4365.8,4238.0,4300.0,4115.2,3875.1,832.068,785.844,762.8399999999999,774.0,740.736,697.5179999999999,Alto Paraná,Sudeste
046,P.PRIMAVERA,0.1754,ART,5192.6,4909.8,4786.0,4911.0,4719.2,4436.1,910.78204,861.1789200000001,839.4644,861.3894,827.74768,778.09194,Baixo Paraná,Sudeste
047,JURUMIRIM,0.2907,NAT,54,53,52,73,77,77,15.6978,15.407100000000002,15.1164,21.2211,22.3839,22.3839,Paranapanema (SE),Sudeste
048,PIRAJU,0.2306,NAT,55,55,53,75,80,79,12.683,12.683,12.2218,17.295,18.448,18.2174,Paranapanema (SE),Sudeste
049,CHAVANTES,0.6177,NAT,80,79,84,111,133,123,49.416000000000004,48.798300000000005,51.8868,68.5647,82.1541,75.97710000000001,Paranapanema (SE),Sudeste
050,LUCAS GARCEZ,0.1483,NAT,140,136,143,176,202,187,20.761999999999997,20.168799999999997,21.206899999999997,26.1008,29.956599999999998,27.7321,Paranapanema (SE),Sudeste
051,CANOAS 2,0.1288,NAT,154,150,157,191,218,202,19.8352,19.32,20.2216,24.6008,28.0784,26.017599999999998,Paranapanema (SE),Sudeste
052,CANOAS 1,0.1489,NAT,149,145,152,186,213,197,22.1861,21.590500000000002,22.6328,27.6954,31.715700000000002,29.3333,Paranapanema (SE),Sudeste
053,PARANAPANEMA,0.1275,NAT,55,55,53,75,80,79,7.0125,7.0125,6.7575,9.5625,10.2,10.0725,Paranapanema (SE),Sudeste
057,GOV JAYME CANET JR,1.0494,NAT,47,46,49,60,110,147,49.3218,48.272400000000005,51.42060000000001,62.964000000000006,115.43400000000001,154.26180000000002,Paranapanema (S),Sul
061,CAPIVARA,0.3744,NAT,348,336,356,417,502,516,130.2912,125.7984,133.28640000000001,156.1248,187.9488,193.1904,Paranapanema (SE),Sudeste
062,TAQUARUÇU,0.2221,NAT,382,370,390,452,537,552,84.84219999999999,82.17699999999999,86.619,100.3892,119.26769999999999,122.5992,Paranapanema (SE),Sudeste
063,ROSANA,0.1841,NAT,463,449,472,534,619,635,85.23830000000001,82.66090000000001,86.8952,98.30940000000001,113.95790000000001,116.90350000000001,Paranapanema (SE),Sudeste
066,ITAIPU ART.,1.0244,ART,6715.6,6490.8,6262.0,6596.0,6615.2,6525.1,6879.46064,6649.17552,6414.7928,6756.9424,6776.610879999999,6684.312440000001,Baixo Paraná,Sudeste
071,STA CLARA PR,0.8126,NAT,39,47,60,64,131,141,31.691399999999998,38.1922,48.756,52.0064,106.4506,114.5766,Iguaçu,Sul
072,FUNDÃO,0.8307,NAT,44,51,66,68,140,149,36.5508,42.3657,54.8262,56.4876,116.298,123.7743,Iguaçu,Sul
073,JORDÃO NAT.,0.0,NAT,62,67,88,84,177,182,0.0,0.0,0.0,0.0,0.0,0.0,Iguaçu,Sul
074,FOZ DO AREIA,1.0938,NAT,162,229,310,341,567,759,177.1956,250.48020000000002,339.07800000000003,372.98580000000004,620.1846,830.1942,Iguaçu,Sul
075,SEGREDO,0.904,ART,307,371,500,499,923,1098,277.528,335.384,452.0,451.096,834.392,992.592,Iguaçu,Sul
