Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
001,CAMARGOS,0.2076,NAT,66,63,59,57,56,54,13.701600000000001,13.078800000000001,12.2484,11.8332,11.6256,11.2104,Grande,Sudeste
002,ITUTINGA,0.2437,NAT,66,63,59,57,56,54,16.0842,15.3531,14.3783,13.8909,13.6472,13.1598,Grande,Sudeste
006,FURNAS,0.813,NAT,452,407,377,359,354,350,367.476,330.89099999999996,306.501,291.86699999999996,287.80199999999996,284.54999999999995,Grande,Sudeste
007,MASC. DE MORAES,0.3471,NAT,540,485,441,418,412,406,187.434,168.3435,153.0711,145.08780000000002,143.0052,140.92260000000002,Grande,Sudeste
008,ESTREITO,0.5437,NAT,562,504,456,432,426,419,305.5594,274.02479999999997,247.92719999999997,234.87839999999997,231.6162,227.81029999999998,Grande,Sudeste
009,JAGUARA,0.3944,NAT,572,513,462,438,431,425,225.59679999999997,202.32719999999998,182.2128,172.7472,169.98639999999997,167.61999999999998,Grande,Sudeste
010,IGARAPAVA,0.1523,NAT,599,536,480,454,447,440,91.2277,81.63279999999999,73.104,69.1442,68.07809999999999,67.012,Grande,Sudeste
011,VOLTA GRANDE,0.2482,NAT,655,584,519,490,483,474,162.571,144.9488,128.8158,121.618,119.8806,117.6468,Grande,Sudeste
012,P COLOMBIA,0.2012,NAT,808,687,642,605,593,580,162.56959999999998,138.2244,129.1704,121.726,119.3116,116.696,Grande,Sudeste
014,CACONDE,0.8259,NAT,31,29,28,26,26,25,25.602899999999998,23.9511,23.1252,21.473399999999998,21.473399999999998,20.6475,Grande,Sudeste
015,EUC DA CUNHA,0.7502,NAT,51,47,45,43,42,41,38.2602,35.2594,33.759,32.2586,31.508399999999998,30.7582,Grande,Sudeste
016,LIMOEIRO,0.2209,NAT,52,48,46,44,42,42,11.4868,10.603200000000001,10.1614,9.7196,9.277800000000001,9.277800000000001,Grande,Sudeste
017,MARIMBONDO,0.5183,NAT,1187,1035,963,915,901,894,615.2221,536.4404999999999,499.12289999999996,474.24449999999996,466.9883,463.36019999999996,Grande,Sudeste
018,AGUA VERMELHA,0.4625,NAT,1359,1218,1088,1034,1017,1014,628.5375,563.325,503.20000000000005,478.225,470.3625,468.975,Grande,Sudeste
022,BATALHA,0.3551,NAT,62,56,54,51,48,46,22.0162,19.8856,19.1754,18.110100000000003,17.044800000000002,16.334600000000002,Paranaíba,Sudeste
023,CORUMBA III,0.3471,NAT,94,80,76,71,67,64,32.6274,27.768,26.3796,24.6441,23.2557,22.2144,Paranaíba,Sudeste
024,EMBORCACAO,1.1582,NAT,305,277,264,250,238,232,353.251,320.8214,305.7648,289.54999999999995,275.6516,268.70239999999995,Paranaíba,Sudeste
025,NOVA PONTE,0.9669,NAT,247,224,218,207,201,194,238.8243,216.5856,210.7842,200.1483,194.3469,187.5786,Paranaíba,Sudeste
028,CAPIM BRANCO 2,0.4169,NAT,265,236,228,217,210,204,110.4785,98.3884,95.0532,90.4673,87.54899999999999,85.0476,Paranaíba,Sudeste
031,ITUMBIARA,0.7027,NAT,1072,955,909,863,825,799,753.2944,671.0785,638.7543,606.4301,579.7275,561.4573,Paranaíba,Sudeste
032,CACH DOURADA,0.2702,NAT,1123,1000,949,901,863,836,303.4346,270.2,256.4198,243.4502,233.1826,225.8872,Paranaíba,Sudeste
033,SAO SIMAO,0.6355,NAT,1745,1565,1480,1410,1355,1315,1108.9475,994.5574999999999,940.54,896.055,861.1025,835.6824999999999,Paranaíba,Sudeste
034,ILHA SOLTEIRA,0.3869,NAT,3705,3303,3042,2908,2829,2799,1433.4645,1277.9307000000001,1176.9498,1125.1052,1094.5401000000002,1082.9331,Alto Paraná,Sudeste
037,BARRA BONITA,0.1776,ART,173.6,191.0,197.1,192.9,230.6,209.7,30.83136,33.9216,35.004960000000004,34.259040000000006,40.95456,37.24272,Tietê,Sudeste
038,BARIRI,0.1848,ART,226.6,247.0,248.1,241.9,279.6,257.7,41.875679999999996,45.645599999999995,45.848879999999994,44.70312,51.67008,47.62296,Tietê,Sudeste
039,IBITINGA,0.1737,ART,330.6,351.0,347.1,336.9,373.6,351.7,57.42522,60.9687,60.291270000000004,58.519529999999996,64.89432000000001,61.090289999999996,Tietê,Sudeste
040,PROMISSAO,0.213,ART,380.6,410.0,404.1,393.9,436.6,422.7,81.0678,87.33,86.0733,83.90069999999999,92.9958,90.0351,Tietê,Sudeste
042,N.AVANHANDAVA,0.2784,ART,404.6,430.0,426.1,415.9,461.6,449.7,112.64064,119.71199999999999,118.62624,115.78655999999998,128.50943999999998,125.19648,Tietê,Sudeste
043,TRES IRMAOS,0.4025,ART,436.6,432.0,437.1,426.9,472.6,462.7,175.7315,173.88000000000002,175.93275000000003,171.82725,190.22150000000002,186.23675,Tietê,Sudeste
045,JUPIA,0.18,ART,4443.6,4014.0,3733.1,3578.9,3540.6,3511.7,799.8480000000001,722.52,671.958,644.202,637.308,632.106,Alto Paraná,Sudeste
046,P.PRIMAVERA,0.1754,ART,5222.6,4718.0,4336.1,4141.9,4084.6,4106.7,916.0440400000001,827.5372,760.5519400000001,726.48926,716.43884,720.3151799999999,Baixo Paraná,Sudeste
047,JURUMIRIM,0.2907,NAT,55,91,68,66,82,106,15.9885,26.4537,19.7676,19.1862,23.837400000000002,30.814200000000003,Paranapanema (SE),Sudeste
048,PIRAJU,0.2306,NAT,56,93,69,67,84,109,12.9136,21.4458,15.9114,15.4502,19.3704,25.1354,Paranapanema (SE),Sudeste
049,CHAVANTES,0.6177,NAT,86,140,100,88,131,160,53.1222,86.47800000000001,61.77,54.357600000000005,80.9187,98.83200000000001,Paranapanema (SE),Sudeste
050,LUCAS GARCEZ,0.1483,NAT,150,221,168,152,197,236,22.244999999999997,32.7743,24.914399999999997,22.5416,29.215099999999996,34.998799999999996,Paranapanema (SE),Sudeste
051,CANOAS 2,0.1288,NAT,155,228,174,157,202,242,19.964,29.3664,22.4112,20.2216,26.017599999999998,31.1696,Paranapanema (SE),Sudeste
052,CANOAS 1,0.1489,NAT,164,241,185,167,212,255,24.4196,35.8849,27.5465,24.866300000000003,31.5668,37.969500000000004,Paranapanema (SE),Sudeste
