BACIA,REGIAO,ENA1_sDIF,ENA2_sDIF,ENA3_sDIF,ENA4_sDIF,ENA5_sDIF,ENA6_sDIF
Alto Paraná,Sudeste,0.16199999999992087,0.5669000000001461,-1.5842000000000098,0.6657999999999902,-0.2611000000002832,0.629799999999932
Alto Tietê,Sudeste,-5.112720000000024,-5.6807999999999765,-33.51671999999999,-19.314719999999994,-19.314720000000023,-18.17855999999999
Amazonas (N),Norte,0.0,0.9930000000000234,19.140300000000018,83.52849999999988,82.12950000000004,31.855999999999987
Amazonas (SE),Sudeste,-0.504700000000021,-14.159300000000066,-18.988500000000684,-83.63620000000046,696.6115000000003,463.7536999999994
Amazonas total,Total,-0.504700000000021,-13.166300000000042,0.15179999999933358,-0.10770000000057678,778.7410000000003,495.6096999999994
Araguari,Norte,-0.32010000000008176,0.0,5.49939999999998,43.56940000000003,58.289300000000026,25.670500000000004
Baixo Paraná,Sudeste,0.9044199999997318,43.873800000000415,-745.0596799999998,-750.7329799999993,-710.493980000001,-509.42534000000103
Capivari,Sul,-6.354200000000006,0.0,-19.06259999999999,-12.708399999999997,-12.708399999999997,-12.70839999999999
Doce,Sudeste,-1.8255999999999872,-0.5519000000000034,-0.8759000000000015,-2.1662999999999926,-2.888000000000009,-3.143799999999999
Grande,Sudeste,-2.1515999999999735,23.34230000000003,-1.8529999999999998,-2.4873999999999974,-6.062999999999979,-1.5848999999999993
Iguaçu,Sul,-1.850500000000011,-52.330300000000165,-843.9672999999999,-3315.0878000000002,-1979.9826999999998,-878.9326000000001
Itabapoana,Sudeste,0.0,0.0,0.0,0.0,-1.690299999999997,-1.6903000000000006
Itajaí-Açu,Sul,-1.7640999999999991,-1.7640999999999991,12.34869999999998,-95.26139999999998,-31.753799999999984,-8.82050000000001
Jacuí,Sul,-2.226799999999983,40.10079999999999,128.1019,230.51770000000005,140.6938,96.41459999999998
Jequitinhonha (NE),Nordeste,-0.7150000000000034,0.0,-0.7149999999999963,-0.7150000000000034,0.0,0.0
Jequitinhonha (SE),Sudeste,0.0,0.0,0.0,-1.4532999999999916,-1.4532999999999987,0.0
Jequitinhonha total,Total,-0.7150000000000034,0.0,-0.7149999999999963,-2.168299999999995,-1.4532999999999987,0.0
Mucuri,Sudeste,-0.44950000000000045,0.0,-0.4494999999999969,-0.44950000000000045,0.0,0.0
Paraguai,Sudeste,-3.430099999999996,-4.710999999999991,0.0,-5.64070000000001,0.0,-3.1402999999999963
Paraguaçu,Nordeste,-0.9482999999999961,-0.9483000000000033,0.0,-0.9483000000000015,-0.9483000000000015,0.0
Paranapanema (S),Sul,0.0,-1.0493999999999915,-46.17359999999999,-70.3098,-87.10020000000003,-72.40859999999998
Paranapanema (SE),Sudeste,-1.439200000000005,34.07339999999999,-96.62049999999996,-66.9983,-88.7253,-83.97700000000003
Paranapanema total,Total,-1.439200000000005,33.024,-142.79409999999996,-137.3081,-175.82550000000003,-156.3856
Paranaíba,Sudeste,-5.5087000000001005,-2.7542000000000115,-2.6187999999998617,-4.36470000000007,-5.2080000000000695,-4.71079999999996
Paraíba do Sul,Sudeste,-67.83252105263153,-79.09351052631577,-40.39922631578945,-7.131378947368457,-13.964600000000003,-20.54982105263163
Parnaíba,Nordeste,0.0,0.0,0.0,0.0,-5.676000000000002,-9.838400000000007
Santa Maria da Vitória,Sudeste,-2.113199999999999,-2.113200000000001,0.0,0.0,-2.113199999999999,0.0
São Francisco (NE),Nordeste,-2.7868000000000848,-186.14389999999997,-376.21800000000013,-250.81200000000015,-117.04559999999998,41.80199999999985
São Francisco (SE),Sudeste,-2.41099999999998,-0.43600000000000705,-0.7705999999999804,-2.4110000000000085,-0.7706000000000053,-1.6403999999999996
São Francisco total,Total,-5.197800000000065,-186.57989999999998,-376.98860000000013,-253.22300000000016,-117.81619999999998,40.16159999999985
Tietê,Sudeste,0.06999999999996831,-0.21299999999999386,-21.056900000000013,-5.538599999999953,-8.286399999999993,-4.6195000000000235
Tocantins (N),Norte,-0.21100000000001273,5.48599999999999,92.12600000000032,142.09539999999993,120.92120000000006,96.27759999999978
Tocantins (SE),Sudeste,-0.7182999999999993,2.5228999999999644,19.217700000000008,17.003299999999967,15.003800000000012,13.829800000000006
Tocantins total,Total,-0.929300000000012,8.008899999999954,111.34370000000033,159.0986999999999,135.92500000000007,110.10739999999979
Uruguai,Sul,-4.02260000000004,11.513200000000019,501.5875,51.39560000000006,127.05840000000009,74.24489999999999
Xingu,Norte,0.0,0.0,5.729500000000371,49.11000000000058,1209.7430000000004,1325.9699999999998
