Posto,NOME,Tipo,BACIA,REGIAO,PRODUTIBILIDADE,ENA1_DIF,ENA2_DIF,ENA3_DIF,ENA4_DIF,ENA5_DIF,ENA6_DIF
1,CAMARGOS,NAT,Grande,Sudeste,0.2076,0.0,-0.20759999999999934,0.0,-0.20759999999999934,-0.20760000000000112,-0.20759999999999934
2,ITUTINGA,NAT,Grande,Sudeste,0.2437,0.0,-0.2436999999999987,0.0,-0.24370000000000047,-0.24370000000000047,-0.24370000000000047
6,FURNAS,NAT,Grande,Sudeste,0.813,-0.8129999999999882,0.0,0.0,0.0,0.0,0.0
7,MASC. DE MORAES,NAT,Grande,Sudeste,0.3471,0.0,0.0,0.0,0.0,0.0,0.0
8,ESTREITO,NAT,Grande,Sudeste,0.5437,-0.5437000000000012,-0.5437000000000012,0.0,0.0,0.0,0.0
9,JAGUARA,NAT,Grande,Sudeste,0.3944,-0.3943999999999903,-0.39440000000001874,0.0,0.0,0.0,0.0
10,IGARAPAVA,NAT,Grande,Sudeste,0.1523,-0.15229999999999677,-0.15229999999999677,0.0,0.0,0.0,0.0
11,VOLTA GRANDE,NAT,Grande,Sudeste,0.2482,-0.2481999999999971,-0.2481999999999971,0.0,0.0,0.0,0.0
12,P COLOMBIA,NAT,Grande,Sudeste,0.2012,0.0,6.8408000000000015,0.0,0.0,0.0,0.0
14,CACONDE,NAT,Grande,Sudeste,0.8259,0.0,-0.8259000000000007,-0.8259000000000007,0.0,-0.8259000000000007,0.0
15,EUC DA CUNHA,NAT,Grande,Sudeste,0.7502,0.0,0.0,0.0,-0.7501999999999995,-0.7502000000000031,0.0
16,LIMOEIRO,NAT,Grande,Sudeste,0.2209,0.0,0.0,-0.22090000000000032,-0.22090000000000032,0.0,-0.22089999999999854
17,MARIMBONDO,NAT,Grande,Sudeste,0.5183,0.0,17.62220000000002,0.0,-0.5183000000000106,0.0,0.0
18,AGUA VERMELHA,NAT,Grande,Sudeste,0.4625,0.0,1.8500000000000227,0.0,0.0,0.0,0.0
22,BATALHA,NAT,Paranaíba,Sudeste,0.3551,-0.3551000000000002,0.0,0.0,0.0,0.0,0.0
23,CORUMBA III,NAT,Paranaíba,Sudeste,0.3471,0.0,0.0,-0.3471000000000011,0.0,0.0,-0.3471000000000011
24,EMBORCACAO,NAT,Paranaíba,Sudeste,1.1582,0.0,-1.1581999999999653,0.0,0.0,-1.158200000000022,-1.1581999999999653
25,NOVA PONTE,NAT,Paranaíba,Sudeste,0.9669,-0.9668999999999812,-0.9669000000000096,-0.9669000000000096,0.0,-0.9669000000000096,0.0
28,CAPIM BRANCO 2,NAT,Paranaíba,Sudeste,0.4169,0.0,0.0,0.0,0.0,0.0,-0.41689999999999827
31,ITUMBIARA,NAT,Paranaíba,Sudeste,0.7027,0.0,0.0,-0.7026999999999362,-0.7027000000000498,0.0,-0.7027000000000498
32,CACH DOURADA,NAT,Paranaíba,Sudeste,0.2702,0.0,0.0,-0.27019999999998845,0.0,0.0,-0.27020000000001687
33,SAO SIMAO,NAT,Paranaíba,Sudeste,0.6355,-0.6355000000000928,0.6354999999999791,1.2710000000000719,1.2709999999999582,1.2709999999999582,1.2710000000000719
34,ILHA SOLTEIRA,NAT,Alto Paraná,Sudeste,0.3869,0.0,0.3869000000001961,1.1606999999999061,0.7737999999999374,0.7737999999999374,0.7737999999999374
37,BARRA BONITA,ART,Tietê,Sudeste,0.1776,-0.01775999999999911,0.0,-0.30192000000000263,-0.4972800000000035,-0.3196799999999982,-0.3196799999999982
38,BARIRI,ART,Tietê,Sudeste,0.1848,-0.018480000000003827,0.0,-0.3141600000000011,-0.3326399999999978,-0.3326399999999978,-0.1478400000000022
39,IBITINGA,ART,Tietê,Sudeste,0.1737,-0.017369999999999663,0.0,-0.2952899999999943,-0.31266000000000105,-0.31266000000000815,-0.31266000000000105
40,PROMISSAO,ART,Tietê,Sudeste,0.213,0.19169999999999732,-0.21299999999999386,-0.5751000000000062,-0.5963999999999885,-0.5964000000000027,-0.5964000000000027
42,N.AVANHANDAVA,ART,Tietê,Sudeste,0.2784,-0.027840000000011855,0.0,-0.7516799999999932,-0.7795199999999767,-0.7795199999999767,-0.5011200000000144
43,TRES IRMAOS,ART,Tietê,Sudeste,0.4025,-0.04025000000001455,0.0,-0.68425000000002,-0.7245000000000061,-1.1269999999999811,-1.1270000000000095
45,JUPIA,ART,Alto Paraná,Sudeste,0.18,0.16199999999992087,0.17999999999994998,0.053999999999973625,0.21600000000000819,0.03600000000005821,0.03599999999994452
46,P.PRIMAVERA,ART,Baixo Paraná,Sudeste,0.1754,-0.017539999999939937,-0.1753999999999678,1.105019999999854,0.9120800000001736,0.5612800000000107,0.5612800000000107
47,JURUMIRIM,NAT,Paranapanema (SE),Sudeste,0.2907,0.0,0.0,-0.29070000000000107,-0.29070000000000107,-0.2906999999999975,-0.2907000000000046
48,PIRAJU,NAT,Paranapanema (SE),Sudeste,0.2306,0.0,0.0,-0.2306000000000008,-0.2306000000000008,-0.23059999999999903,-0.23059999999999903
49,CHAVANTES,NAT,Paranapanema (SE),Sudeste,0.6177,-0.6176999999999992,-0.6176999999999992,-1.2353999999999985,-0.6176999999999992,-0.6176999999999992,-1.2353999999999985
50,LUCAS GARCEZ,NAT,Paranapanema (SE),Sudeste,0.1483,0.0,2.224500000000006,5.338799999999999,3.7074999999999996,3.262599999999999,3.262599999999999
51,CANOAS 2,NAT,Paranapanema (SE),Sudeste,0.1288,-0.12879999999999825,2.189600000000002,7.084,5.409600000000001,5.023199999999999,5.1519999999999975
52,CANOAS 1,NAT,Paranapanema (SE),Sudeste,0.1489,0.0,3.126899999999999,5.3603999999999985,3.7224999999999966,3.275800000000004,2.829100000000004
53,PARANAPANEMA,NAT,Paranapanema (SE),Sudeste,0.1275,0.0,0.0,-0.1274999999999995,-0.1274999999999995,-0.12750000000000128,-0.12750000000000128
57,GOV JAYME CANET JR,NAT,Paranapanema (S),Sul,1.0494,0.0,-1.0493999999999915,-1.049399999999963,2.098799999999983,1.0493999999999915,1.0494000000000483
61,CAPIVARA,NAT,Paranapanema (SE),Sudeste,0.3744,-0.3744000000000085,11.606400000000008,18.72,13.104000000000013,11.606400000000008,11.231999999999971
62,TAQUARUÇU,NAT,Paranapanema (SE),Sudeste,0.2221,-0.22209999999999752,7.995599999999996,11.105000000000018,7.995599999999996,6.885099999999994,6.6629999999999825
63,ROSANA,NAT,Paranapanema (SE),Sudeste,0.1841,0.0,7.548099999999977,9.389100000000013,6.4435,5.707099999999997,5.522999999999996
66,ITAIPU ART.,ART,Baixo Paraná,Sudeste,1.0244,0.9219599999996717,45.073599999998805,6.453719999999521,3.278080000000955,-16.185520000000906,3.278079999999136
71,STA CLARA PR,NAT,Iguaçu,Sul,0.8126,-0.8126000000000033,-0.8125999999999749,-3.2504000000000133,-1.6251999999999782,-1.6252000000000066,-0.8126000000000033
72,FUNDÃO,NAT,Iguaçu,Sul,0.8307,0.0,0.0,-2.4920999999999935,-1.6614000000000146,-0.8307000000000073,-0.8307000000000073
73,JORDÃO NAT.,NAT,Iguaçu,Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,FOZ DO AREIA,NAT,Iguaçu,Sul,1.0938,0.0,0.0,-1.0937999999998738,26.251200000000154,0.0,-2.1876000000000886
