BACIA,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Alto Paraná,2223.8372,1991.7937,1832.0974,1774.2936,1702.5922,1662.6133
Alto Tietê,195.9876,196.55568,186.89831999999998,140.88384,86.91624,138.04344
Amazonas (N),864.6907,930.7883999999999,1163.1456,1283.6489000000001,1351.02,1288.8301000000001
Amazonas (SE),15010.212,13016.013200000001,11344.4598,11258.4985,9471.4397,9349.9222
Araguari,1370.9629,1178.8937999999998,1334.2843,1354.1928,1361.7128,1365.1823
Baixo Paraná,8471.72,8686.642719999998,10328.507179999999,10107.88696,8357.247959999999,8010.78326
Capivari,101.6672,76.2504,203.3344,101.6672,82.60459999999999,101.6672
Doce,464.8829,407.17150000000004,379.7645,379.9758,368.5097,359.1003
Grande,2897.761,2618.8101,2421.1282,2374.6162,2317.5285,2214.3751
Iguaçu,3387.9658,6086.1335,6040.3337,4022.5714,2712.062,2988.8686000000002
Itabapoana,32.1157,33.806,30.4254,28.7351,28.7351,27.0448
Itajaí-Açu,95.2614,105.846,100.5537,89.9691,67.0358,105.846
Jacuí,652.8045,1182.991,576.6111,444.3269,452.9107,626.2253000000001
Jequitinhonha (NE),68.64,60.059999999999995,55.769999999999996,52.195,50.05,48.62
Jequitinhonha (SE),74.1183,62.4919,56.6787,55.2254,50.865500000000004,49.4122
Mucuri,20.2275,19.328500000000002,19.328500000000002,18.879,18.4295,17.98
Paraguai,429.7934,387.7122,364.0471,354.3424,345.1853,340.52099999999996
Paraguaçu,40.776900000000005,36.9837,30.3456,18.966,18.0177,18.0177
Paranapanema (S),143.76780000000002,236.11500000000004,719.8884,517.3542000000001,342.10440000000006,306.4248
Paranapanema (SE),598.7570000000001,1018.533,2494.0359,1856.2887,1146.6757,1245.3466
Paranaíba,3671.4945,3272.7338999999997,3024.6135999999997,2919.8968,2774.6026,2690.2259
Paraíba do Sul,581.9717515789474,585.1672642105262,524.9942189473684,661.35512,618.4739589473684,585.0378947368422
Parnaíba,180.8752,138.8728,123.3584,108.9792,99.5192,95.3568
Santa Maria da Vitória,10.565999999999999,8.4528,8.4528,8.4528,8.4528,10.565999999999999
São Francisco (NE),5953.155400000001,4437.0705,3215.6149,2678.1148000000003,2530.4144,2527.6276000000003
São Francisco (SE),274.02799999999996,231.39440000000002,211.949,200.1488,188.0162,180.14
Tietê,496.0771,488.2419,476.6806,544.0021999999999,471.02829999999994,526.1119
Tocantins (N),12371.694,9502.2554,7928.5470000000005,6363.4396,4985.1078,4077.7731999999996
Tocantins (SE),1672.7712000000001,1319.1529,1159.5198,1118.3026,1027.1318999999999,958.0358000000001
Uruguai,1630.7131,3001.6299,1803.6641,1410.1562,1250.8736999999999,2037.6272
Xingu,8017.533752142856,8255.03698,7250.0562014285715,6680.445516428571,5981.250005714285,5277.960988571429
