Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
001,CAMARGOS,0.2076,NAT,66,63,59,58,57,54,13.701600000000001,13.078800000000001,12.2484,12.0408,11.8332,11.2104,Grande,Sudeste
002,ITUTINGA,0.2437,NAT,66,63,59,58,57,54,16.0842,15.3531,14.3783,14.1346,13.8909,13.1598,Grande,Sudeste
006,FURNAS,0.813,NAT,452,412,391,393,389,368,367.476,334.95599999999996,317.883,319.50899999999996,316.257,299.18399999999997,Grande,Sudeste
007,MASC. DE MORAES,0.3471,NAT,538,487,456,452,445,422,186.7398,169.0377,158.2776,156.88920000000002,154.45950000000002,146.4762,Grande,Sudeste
008,ESTREITO,0.5437,NAT,559,506,471,466,458,434,303.9283,275.1122,256.0827,253.36419999999998,249.01459999999997,235.96579999999997,Grande,Sudeste
009,JAGUARA,0.3944,NAT,569,514,478,472,463,439,224.41359999999997,202.7216,188.52319999999997,186.15679999999998,182.60719999999998,173.14159999999998,Grande,Sudeste
010,IGARAPAVA,0.1523,NAT,595,537,496,488,478,454,90.6185,81.7851,75.54079999999999,74.3224,72.79939999999999,69.1442,Grande,Sudeste
011,VOLTA GRANDE,0.2482,NAT,651,584,536,524,512,487,161.5782,144.9488,133.0352,130.0568,127.0784,120.8734,Grande,Sudeste
012,P COLOMBIA,0.2012,NAT,804,720,660,639,621,590,161.76479999999998,144.864,132.792,128.5668,124.9452,118.708,Grande,Sudeste
014,CACONDE,0.8259,NAT,31,28,26,27,25,24,25.602899999999998,23.1252,21.473399999999998,22.2993,20.6475,19.8216,Grande,Sudeste
015,EUC DA CUNHA,0.7502,NAT,51,46,42,45,41,39,38.2602,34.5092,31.508399999999998,33.759,30.7582,29.2578,Grande,Sudeste
016,LIMOEIRO,0.2209,NAT,52,47,43,45,41,40,11.4868,10.3823,9.498700000000001,9.9405,9.0569,8.836,Grande,Sudeste
017,MARIMBONDO,0.5183,NAT,1184,1070,985,954,927,893,613.6672,554.581,510.52549999999997,494.4582,480.4641,462.8419,Grande,Sudeste
018,AGUA VERMELHA,0.4625,NAT,1352,1214,1102,1059,1028,993,625.3000000000001,561.475,509.675,489.7875,475.45000000000005,459.26250000000005,Grande,Sudeste
020,,,,,,,,,,,,,,,,Paranaíba,Sudeste
022,BATALHA,0.3551,NAT,61,55,52,49,46,44,21.6611,19.5305,18.465200000000003,17.399900000000002,16.334600000000002,15.624400000000001,Paranaíba,Sudeste
023,CORUMBA III,0.3471,NAT,92,79,73,69,65,62,31.933200000000003,27.420900000000003,25.3383,23.949900000000003,22.561500000000002,21.520200000000003,Paranaíba,Sudeste
024,EMBORCACAO,1.1582,NAT,303,272,256,242,229,220,350.9346,315.0304,296.4992,280.28439999999995,265.2278,254.80399999999997,Paranaíba,Sudeste
025,NOVA PONTE,0.9669,NAT,248,221,204,202,191,187,239.7912,213.6849,197.2476,195.3138,184.6779,180.81029999999998,Paranaíba,Sudeste
028,CAPIM BRANCO 2,0.4169,NAT,266,235,214,211,200,195,110.8954,97.97149999999999,89.2166,87.9659,83.38,81.2955,Paranaíba,Sudeste
031,ITUMBIARA,0.7027,NAT,1036,921,841,811,769,744,727.9972,647.1867,590.9707,569.8897,540.3763,522.8088,Paranaíba,Sudeste
032,CACH DOURADA,0.2702,NAT,1090,967,885,851,807,782,294.518,261.2834,239.127,229.9402,218.0514,211.2964,Paranaíba,Sudeste
033,SAO SIMAO,0.6355,NAT,1722,1540,1427,1369,1306,1269,1094.331,978.67,906.8584999999999,869.9994999999999,829.963,806.4495,Paranaíba,Sudeste
034,ILHA SOLTEIRA,0.3869,NAT,3688,3293,3026,2904,2798,2717,1426.8872000000001,1274.0617,1170.7594000000001,1123.5576,1082.5462,1051.2073,Alto Paraná,Sudeste
037,BARRA BONITA,0.1776,ART,170.5,181.4,195.1,221.2,185.7,217.7,30.280800000000003,32.216640000000005,34.64976,39.28512,32.98032,38.66352,Tietê,Sudeste
038,BARIRI,0.1848,ART,222.5,232.4,239.1,268.2,227.7,260.7,41.117999999999995,42.94752,44.18568,49.563359999999996,42.078959999999995,48.17735999999999,Tietê,Sudeste
039,IBITINGA,0.1737,ART,326.5,327.4,324.1,358.2,309.7,343.7,56.713049999999996,56.86937999999999,56.296170000000004,62.219339999999995,53.794889999999995,59.700689999999994,Tietê,Sudeste
040,PROMISSAO,0.213,ART,378.5,377.4,368.1,416.2,361.7,401.7,80.62049999999999,80.38619999999999,78.4053,88.6506,77.04209999999999,85.5621,Tietê,Sudeste
042,N.AVANHANDAVA,0.2784,ART,402.5,397.4,384.1,439.2,381.7,424.7,112.056,110.63615999999999,106.93344,122.27327999999999,106.26527999999999,118.23647999999999,Tietê,Sudeste
043,TRES IRMAOS,0.4025,ART,435.5,410.4,388.1,452.2,394.7,436.7,175.28875000000002,165.186,156.21025000000003,182.0105,158.86675,175.77175,Tietê,Sudeste
044,,,ART,4123.5,3704.4,3415.1,3356.2,3192.7,3153.7,,,,,,,Alto Paraná,Sudeste
045,JUPIA,0.18,ART,4427.5,3987.4,3674.1,3615.2,3444.7,3396.7,796.9499999999999,717.732,661.338,650.736,620.0459999999999,611.406,Alto Paraná,Sudeste
046,P.PRIMAVERA,0.1754,ART,5210.5,4702.4,4455.1,4437.2,4153.7,4004.7,913.9217,824.8009599999999,781.4245400000001,778.2848799999999,728.55898,702.4243799999999,Baixo Paraná,Sudeste
047,JURUMIRIM,0.2907,NAT,58,85,221,203,133,137,16.8606,24.709500000000002,64.24470000000001,59.012100000000004,38.6631,39.825900000000004,Paranapanema (SE),Sudeste
048,PIRAJU,0.2306,NAT,60,89,225,210,136,142,13.836,20.5234,51.885,48.426,31.3616,32.7452,Paranapanema (SE),Sudeste
049,CHAVANTES,0.6177,NAT,102,152,470,353,197,232,63.0054,93.8904,290.319,218.0481,121.68690000000001,143.3064,Paranapanema (SE),Sudeste
050,LUCAS GARCEZ,0.1483,NAT,170,240,577,513,316,353,25.211,35.592,85.56909999999999,76.0779,46.86279999999999,52.3499,Paranapanema (SE),Sudeste
051,CANOAS 2,0.1288,NAT,174,247,585,550,345,382,22.4112,31.8136,75.348,70.84,44.436,49.2016,Paranapanema (SE),Sudeste
052,CANOAS 1,0.1489,NAT,185,261,605,538,336,373,27.5465,38.8629,90.0845,80.1082,50.0304,55.5397,Paranapanema (SE),Sudeste
053,PARANAPANEMA,0.1275,NAT,60,89,225,210,136,142,7.65,11.3475,28.6875,26.775000000000002,17.34,18.105,Paranapanema (SE),Sudeste
054,,,,,,,,,,,,,,,,Paranapanema (S),Sul
055,,,,,,,,,,,,,,,,Paranapanema (S),Sul
057,GOV JAYME CANET JR,1.0494,NAT,137,225,686,493,326,292,143.76780000000002,236.11500000000004,719.8884,517.3542000000001,342.10440000000006,306.4248,Paranapanema (S),Sul
058,,,,,,,,,,,,,,,,Paranapanema (S),Sul
061,CAPIVARA,0.3744,NAT,500,918,2195,1523,951,1016,187.20000000000002,343.6992,821.808,570.2112,356.0544,380.3904,Paranapanema (SE),Sudeste
062,TAQUARUÇU,0.2221,NAT,520,952,2254,1587,992,1062,115.49199999999999,211.4392,500.61339999999996,352.4727,220.32319999999999,235.87019999999998,Paranapanema (SE),Sudeste
063,ROSANA,0.1841,NAT,595,1041,2393,1737,1089,1169,109.5395,191.64810000000003,440.5513,319.7817,200.4849,215.21290000000002,Paranapanema (SE),Sudeste
065,,,,,,,,,,,,,,,,Iguaçu,Sul
066,ITAIPU ART.,1.0244,ART,7350.5,7649.4,9295.1,9082.2,7422.7,7109.7,7529.8522,7836.045359999999,9521.90044,9303.805680000001,7603.81388,7283.17668,Baixo Paraná,Sudeste
070,,,,,,,,,,,,,,,,Iguaçu,Sul
071,STA CLARA PR,0.8126,NAT,198,214,235,109,74,117,160.8948,173.8964,190.96099999999998,88.57339999999999,60.1324,95.0742,Iguaçu,Sul
072,FUNDÃO,0.8307,NAT,202,226,243,113,78,123,167.8014,187.7382,201.8601,93.8691,64.7946,102.1761,Iguaçu,Sul
073,JORDÃO NAT.,0.0,NAT,229,264,274,132,96,146,0.0,0.0,0.0,0.0,0.0,0.0,Iguaçu,Sul
074,FOZ DO AREIA,1.0938,NAT,376,891,903,666,419,384,411.26880000000006,974.5758000000001,987.7014000000001,728.4708,458.3022,420.01920000000007,Iguaçu,Sul
075,SEGREDO,0.904,ART,651.5,1258.5,1228.5,881.0,593.0,638.0,588.956,1137.684,1110.564,796.424,536.072,576.7520000000001,Iguaçu,Sul
076,,,NAT,478,1085,1055,759,507,502,,,,,,,Iguaçu,Sul
077,SLT SANTIAGO,0.8921,NAT,815,1501,1472,974,665,733,727.0615,1339.0421000000001,1313.1712,868.9054,593.2465,653.9093,Iguaçu,Sul
078,SALTO OSORIO,0.5747,NAT,813,1564,1532,1007,689,766,467.23109999999997,898.8308,880.4404,578.7229,395.9683,440.2202,Iguaçu,Sul
080,,,,,,,,,,,,,,,,Iguaçu,Sul
081,BAIXO IGUAÇU,0.1458,NAT,1333,2061,2040,1295,904,1060,194.3514,300.4938,297.432,188.811,131.8032,154.548,Iguaçu,Sul
083,,,,,,,,,,,,,,,,Iguaçu,Sul
085,,,,,,,,,,,,,,,,Uruguai,Sul
088,SAO ROQUE,0.4335,NAT,98,170,120,92,79,109,42.483,73.695,52.019999999999996,39.882,34.2465,47.2515,Uruguai,Sul
089,GARIBALDI,0.3691,NAT,108,201,142,113,96,134,39.8628,74.1891,52.4122,41.7083,35.4336,49.459399999999995,Uruguai,Sul
092,ITÁ,0.9097,NAT,427,880,506,403,364,604,388.4419,800.536,460.3082,366.60909999999996,331.13079999999997,549.4588,Uruguai,Sul
093,PASSO FUNDO,2.2252,NAT,50,70,32,22,18,36,111.26,155.764,71.2064,48.9544,40.0536,80.1072,Uruguai,Sul
094,FOZ CHAPECO,0.4506,NAT,592,1131,706,519,459,750,266.7552,509.6286,318.1236,233.8614,206.8254,337.95,Uruguai,Sul
096,,,NAT,20,78,34,22,23,48,,,,,,,,
097,MONTE CLARO,0.3541,NAT,52,275,99,74,75,132,18.4132,97.37750000000001,35.0559,26.203400000000002,26.5575,46.741200000000006,Jacuí,Sul
098,CASTRO ALVES,0.7676,NAT,28,185,59,47,47,76,21.4928,142.006,45.288399999999996,36.0772,36.0772,58.337599999999995,Jacuí,Sul
099,ESPORA,0.4021,NAT,53,49,44,45,44,44,21.3113,19.7029,17.6924,18.0945,17.6924,17.6924,Paranaíba,Sudeste
100,,,,,,,,,,,,,,,,Uruguai,Sul
101,SALTO PILAO,1.7641,NAT,54,60,57,51,38,60,95.2614,105.846,100.5537,89.9691,67.0358,105.846,Itajaí-Açu,Sul
