BACIA,REGIAO,PERC1,PERC2,PERC3,PERC4,PERC5,PERC6
Alto Paraná,Sudeste,-0.0008094052166769985,-0.0009036998828769356,-0.030933106516024024,-0.678705444734555,-0.36441058671453724,-2.8420552367078757
Alto Tietê,Sudeste,-2.542372881355944,-5.205479452054794,-2.949852507374619,4.980842911877378,37.572254335260105,16.599190283400812
Amazonas (N),Norte,-0.04345330174578318,-0.022341654597160462,-0.12919545699604393,-3.069354585840339,-10.627395796491806,-9.054017664670694
Amazonas (SE),Sudeste,-0.0033622645079966172,-0.005890089606570383,0.057083532441598646,0.11204959101925402,0.9958628989731546,6.168574458369496
Amazonas total,Total,-0.005546812924814918,-0.0069882107300505035,0.039749396588101775,-0.21166308325984598,-0.43628495428809533,4.285247380815147
Araguari,Norte,-0.0233431027731024,-0.011925012535682266,0.023990389454483195,0.3483539866482495,-4.352770428835071,-4.809302913737153
Baixo Paraná,Sudeste,-0.0050409889720624676,0.008896287879055218,0.808153177002384,8.535618196927764,8.958669521476857,6.020884145742197
Capivari,Sul,-5.882352941176476,-7.692307692307683,0.0,-6.249999999999992,-7.1428571428571495,0.0
Doce,Sudeste,-0.6778892602121338,-0.41967533857111966,0.16471488104657658,-0.9025519258179957,-0.6625350747925784,-1.0255025866200984
Grande,Sudeste,-0.024012776453126543,-0.13564461910597447,0.9427326873618422,-2.4692499807586286,-2.367572785373158,-4.270549434602989
Iguaçu,Sul,-0.057432157471190494,-0.013349879999758884,-0.018103315712143568,24.081086339985355,29.508584777847414,37.993518172702956
Itabapoana,Sudeste,-5.000000000000003,0.0,-5.263157894736834,-5.555555555555557,0.0,-5.882352941176473
Itajaí-Açu,Sul,0.0,-1.6393442622950811,-1.7241379310344818,-17.647058823529406,-2.564102564102563,3.3333333333333313
Jacuí,Sul,-0.4607774252454573,-0.061019843233998464,-0.19415549887421954,0.8938495066625375,3.677701131584637,23.45567539677882
Jequitinhonha (NE),Nordeste,-1.0309278350515512,0.0,-1.26582278481012,-1.3513513513513444,-1.4084507042253587,-1.4492753623188475
Jequitinhonha (SE),Sudeste,0.0,-2.2727272727272707,0.0,0.0,-2.777777777777789,0.0
Jequitinhonha total,Total,-0.4983505641816306,-1.1719669820297847,-0.6318280508678987,-0.6612080780207003,-2.103434293264324,-0.7240711635367925
Mucuri,Sudeste,-2.173913043478263,-2.2727272727272747,0.0,-2.3255813953488214,-2.3809523809523827,0.0
Paraguai,Sudeste,-0.6752935820417804,-0.6963077708008697,-0.6821489711428959,-0.1427848269197751,-0.7191552600523997,-3.393638842156928
Paraguaçu,Nordeste,0.0,-2.5000000000000084,-3.030303030303029,0.0,-4.999999999999997,-4.999999999999997
Paranapanema (S),Sul,0.0,-0.4424778761061911,0.14556040756914002,24.18032786885246,34.984520123839005,40.37037037037038
Paranapanema (SE),Sudeste,-0.13174949282533124,-0.17060129753430642,4.738899590248346,22.865962924857886,26.5798910697372,20.1358762085391
Paranapanema total,Total,-0.10626723781999678,-0.22187972687321128,3.671464375657713,23.162669579767538,28.5961832866088,24.09225004399267
Paranaíba,Sudeste,-0.17530455414184065,-0.2041118395173626,-0.1799795126649182,-0.3261003532830749,-0.1216851920396829,-3.6770211464101634
Paraíba do Sul,Sudeste,-10.011305374349575,-11.301661706472546,-9.380653543790668,-7.614521467750834,-4.54798697968803,-6.363911618073343
Parnaíba,Nordeste,0.0,0.0,0.0,0.0,0.0,-3.07692307692307
Santa Maria da Vitória,Sudeste,-16.66666666666666,-20.000000000000007,-20.000000000000007,-20.000000000000007,-20.000000000000007,0.0
São Francisco (NE),Nordeste,-0.04679024588250752,-0.005519102834115186,-5.607204324435787,-8.126195028680693,-3.506907545164718,0.4434589800443503
São Francisco (SE),Sudeste,-0.7520343754029297,-1.0311994504831696,-0.20528756738941406,-0.6005393207425455,-1.6678391585736765,-3.526130039801962
São Francisco total,Total,-0.07803536000517125,-0.0568578744527439,-5.290188354201305,-7.640927751430228,-3.382198529287872,0.16959474079264714
Tietê,Sudeste,0.027301596135191716,0.09978366196812881,-0.04715818962037064,4.8261931720795435,10.984601191486028,3.448465344433458
Tocantins (N),Norte,-0.001705477046582662,0.0,0.011201482459837375,0.09501342943221504,0.07716535035077315,-0.4414883230492868
Tocantins (SE),Sudeste,-0.09477065239333418,-0.10807371699754846,-0.16991917474520588,-0.048835901895609296,-0.1942900585872692,-3.1851306001974153
Tocantins total,Total,-0.012799133833675156,-0.0131869323893904,-0.011939541961148213,0.07350162843156466,0.03071928311097581,-0.975249377058679
Uruguai,Sul,-0.2350059441276484,-0.15357023605449024,-0.35646874902975667,-0.812829734322623,1.2594043348358193,15.169841253496413
Xingu,Norte,0.0,0.0,0.0,0.12253678206684965,0.43898307798193253,5.485415589838934
